471,"[{2007, 7.3664694}, {84847, 7.1180663}, {7116, 6.840853}, {4733, 6.8200054}, {42730, 6.770339}, {6993, 6.700681}, {6140, 6.6767354}, {89759, 6.6189084}, {2017, 6.548189}, {5080, 6.4955053}]"
463,"[{85367, 9.839755}, {5034, 9.079571}, {84847, 8.772625}, {105585, 8.528785}, {90888, 7.8220716}, {89759, 7.6354074}, {62250, 7.5841804}, {92643, 7.4479628}, {1964, 7.4431553}, {1177, 7.3675995}]"
496,"[{4733, 12.0883045}, {1999, 11.314521}, {30, 10.209702}, {126548, 9.763723}, {1187, 9.036252}, {6464, 8.86425}, {3837, 8.737055}, {232, 8.6473465}, {501, 8.598599}, {130634, 8.584768}]"
148,"[{4733, 9.525829}, {2007, 8.998935}, {84847, 8.740113}, {5034, 8.738151}, {85367, 8.284848}, {5080, 8.173564}, {102, 8.083696}, {1354, 7.9805484}, {53127, 7.6660028}, {4535, 7.6295943}]"
540,"[{82378, 7.250166}, {91470, 6.868519}, {2303, 6.434279}, {5137, 6.3947225}, {26326, 6.359273}, {3379, 6.334282}, {96004, 6.334282}, {25947, 6.328904}, {26171, 6.2097383}, {2970, 6.195378}]"
392,"[{91470, 9.133125}, {6140, 8.695821}, {82378, 8.299205}, {2970, 8.274141}, {26249, 8.175731}, {3325, 8.162866}, {7982, 8.108775}, {7116, 8.062756}, {100390, 7.9613595}, {6869, 7.7988434}]"
243,"[{2007, 24.927238}, {102, 23.06153}, {5034, 22.91351}, {5080, 22.838913}, {84847, 22.643793}, {4733, 20.867496}, {1354, 20.70282}, {53127, 20.192852}, {42730, 19.841337}, {461, 19.441046}]"
31,"[{66943, 8.872649}, {2261, 8.5676365}, {2303, 7.9719386}, {132422, 7.640927}, {3947, 7.570261}, {82378, 7.229004}, {86347, 7.084197}, {6159, 7.0633955}, {173145, 6.959676}, {501, 6.9043307}]"
516,"[{90888, 6.592711}, {26326, 6.1740713}, {25947, 6.161029}, {213, 6.1078424}, {4300, 5.936437}, {6920, 5.9276714}, {27563, 5.8740144}, {66943, 5.8600802}, {2511, 5.828094}, {27865, 5.8189816}]"
580,"[{82378, 7.9321065}, {2303, 7.6168747}, {3947, 7.130184}, {66943, 7.054177}, {2261, 6.851313}, {91470, 6.708396}, {6159, 6.672303}, {32892, 6.55737}, {86347, 6.5272503}, {187, 6.5053415}]"
251,"[{1999, 7.447806}, {90888, 7.359732}, {1353, 7.075735}, {938, 6.947897}, {5135, 6.854496}, {167064, 6.840393}, {6611, 6.840393}, {160644, 6.840393}, {162414, 6.840393}, {152711, 6.840393}]"
451,"[{1999, 11.262015}, {30, 10.598912}, {72171, 10.214691}, {3326, 10.194481}, {52712, 9.996701}, {984, 9.845337}, {2261, 9.667959}, {66943, 9.635048}, {5135, 9.5626745}, {6376, 9.543589}]"
85,"[{2007, 10.350135}, {5080, 9.328911}, {4535, 9.239219}, {42730, 8.870642}, {1354, 8.866091}, {4733, 8.788688}, {98279, 8.781861}, {103984, 8.579776}, {102, 8.283041}, {461, 8.280349}]"
137,"[{30, 7.932314}, {2261, 7.745353}, {66943, 7.723113}, {1999, 7.2577896}, {501, 7.0578976}, {72171, 6.900976}, {4733, 6.8371387}, {126548, 6.7999997}, {2303, 6.7843676}, {160565, 6.7214627}]"
65,"[{66943, 9.022364}, {2261, 8.743479}, {132422, 7.717121}, {72171, 7.491045}, {2303, 7.364146}, {30, 7.3396873}, {6376, 7.306632}, {501, 7.2774267}, {160565, 7.191655}, {173145, 7.066778}]"
458,"[{2007, 18.313478}, {5080, 16.667366}, {84847, 16.2664}, {5034, 16.224386}, {102, 15.923487}, {1354, 15.52043}, {42730, 15.0348015}, {461, 14.498627}, {98279, 14.450782}, {115877, 14.121341}]"
481,"[{1999, 8.484433}, {6945, 6.470746}, {52712, 6.220853}, {3503, 6.2020893}, {5417, 6.1800294}, {4914, 6.1481504}, {130634, 5.919785}, {42018, 5.90092}, {1232, 5.87304}, {32582, 5.871519}]"
53,"[{90888, 10.077027}, {7700, 8.979465}, {104925, 8.922938}, {27563, 8.6258745}, {3045, 8.588395}, {2511, 8.399163}, {1683, 8.1043215}, {27731, 8.074317}, {112421, 8.062653}, {7327, 8.015577}]"
255,"[{1999, 16.562235}, {130634, 12.189798}, {3837, 11.885345}, {61350, 11.639426}, {52712, 11.271145}, {4733, 11.1379385}, {6464, 10.8533125}, {4735, 10.29314}, {1916, 10.220175}, {5417, 10.088292}]"
588,"[{82378, 7.243106}, {89759, 6.717004}, {2007, 6.7027583}, {4535, 6.6150384}, {2303, 6.5857096}, {91470, 6.581481}, {6140, 6.502989}, {7116, 6.384815}, {103984, 6.3505983}, {42730, 6.3360806}]"
