471,"[{40491, 0.930626}, {136850, 0.9129511}, {25947, 0.85681295}, {132333, 0.8490076}, {5490, 0.8490076}, {156605, 0.83756334}, {162414, 0.82892966}, {6611, 0.82892966}, {152711, 0.82892966}, {160644, 0.82892966}]"
463,"[{40491, 0.99153423}, {136850, 0.9727032}, {25947, 0.91289115}, {132333, 0.9045748}, {5490, 0.9045748}, {156605, 0.89238083}, {162414, 0.88318306}, {6611, 0.88318306}, {152711, 0.88318306}, {160644, 0.88318306}]"
496,"[{40491, 0.8820654}, {136850, 0.86530924}, {25947, 0.81210625}, {132333, 0.80470747}, {5490, 0.80470747}, {156605, 0.7938588}, {6611, 0.78568023}, {160644, 0.78568023}, {162414, 0.78568023}, {152711, 0.78568023}]"
148,"[{40491, 0.92600715}, {136850, 0.90841854}, {25947, 0.8525577}, {132333, 0.84479207}, {5490, 0.84479207}, {156605, 0.8334065}, {162414, 0.8248122}, {6611, 0.8248122}, {152711, 0.8248122}, {160644, 0.8248122}]"
540,"[{40491, 1.0536542}, {136850, 1.0336431}, {25947, 0.9700842}, {132333, 0.9612467}, {5490, 0.9612467}, {156605, 0.9482889}, {162414, 0.9385151}, {6611, 0.9385151}, {152711, 0.9385151}, {160644, 0.9385151}]"
392,"[{40491, 0.8650352}, {136850, 0.8486059}, {25947, 0.7964241}, {132333, 0.789169}, {5490, 0.789169}, {156605, 0.7785317}, {162414, 0.7705059}, {6611, 0.7705059}, {152711, 0.7705059}, {160644, 0.7705059}]"
243,"[{40491, 1.1275668}, {136850, 1.1061518}, {25947, 1.0381346}, {132333, 1.028677}, {5490, 1.028677}, {156605, 1.0148101}, {162414, 1.0043509}, {6611, 1.0043509}, {152711, 1.0043509}, {160644, 1.0043509}]"
31,"[{40491, 1.0150342}, {136850, 0.9957578}, {25947, 0.93452936}, {132333, 0.9260151}, {5490, 0.9260151}, {156605, 0.91353077}, {162414, 0.9041178}, {6611, 0.9041178}, {152711, 0.9041178}, {160644, 0.9041178}]"
516,"[{40491, 0.947857}, {136850, 0.9298563}, {25947, 0.8726783}, {132333, 0.86472815}, {5490, 0.86472815}, {156605, 0.85307133}, {162414, 0.84427863}, {6611, 0.84427863}, {152711, 0.84427863}, {160644, 0.84427863}]"
580,"[{40491, 0.9147822}, {136850, 0.8974081}, {25947, 0.84222704}, {132333, 0.83455426}, {5490, 0.83455426}, {156605, 0.82330406}, {162414, 0.814819}, {6611, 0.814819}, {152711, 0.814819}, {160644, 0.814819}]"
251,"[{40491, 1.1580248}, {136850, 1.1360332}, {25947, 1.0661788}, {132333, 1.0564653}, {5490, 1.0564653}, {156605, 1.0422223}, {162414, 1.0314829}, {6611, 1.0314829}, {152711, 1.0314829}, {160644, 1.0314829}]"
451,"[{40491, 1.0188763}, {136850, 0.99952644}, {25947, 0.9380659}, {132333, 0.92951965}, {5490, 0.92951965}, {156605, 0.91698855}, {162414, 0.907539}, {6611, 0.907539}, {152711, 0.907539}, {160644, 0.907539}]"
85,"[{40491, 0.97738934}, {136850, 0.9588285}, {25947, 0.8998694}, {132333, 0.89167124}, {5490, 0.89167124}, {156605, 0.8796504}, {162414, 0.8705852}, {6611, 0.8705852}, {152711, 0.8705852}, {160644, 0.8705852}]"
137,"[{40491, 0.98601633}, {136850, 0.9672955}, {25947, 0.90781903}, {132333, 0.89954627}, {5490, 0.89954627}, {156605, 0.88741475}, {6611, 0.8782779}, {160644, 0.8782779}, {162414, 0.8782779}, {152711, 0.8782779}]"
65,"[{40491, 0.99318886}, {136850, 0.97432625}, {25947, 0.9144144}, {132333, 0.90608406}, {5490, 0.90608406}, {156605, 0.89387}, {162414, 0.88465667}, {6611, 0.88465667}, {152711, 0.88465667}, {160644, 0.88465667}]"
458,"[{40491, 1.0773394}, {136850, 1.056879}, {25947, 0.99189144}, {132333, 0.982855}, {5490, 0.982855}, {156605, 0.9696054}, {162414, 0.9596128}, {6611, 0.9596128}, {152711, 0.9596128}, {160644, 0.9596128}]"
481,"[{40491, 0.7724245}, {136850, 0.75775504}, {25947, 0.7111606}, {132333, 0.7046818}, {5490, 0.7046818}, {156605, 0.6951821}, {162414, 0.6880176}, {6611, 0.6880176}, {152711, 0.6880176}, {160644, 0.6880176}]"
53,"[{40491, 1.3086623}, {136850, 1.2838093}, {25947, 1.2048692}, {132333, 1.1938918}, {5490, 1.1938918}, {156605, 1.1777959}, {162414, 1.16566}, {6611, 1.16566}, {152711, 1.16566}, {160644, 1.16566}]"
255,"[{40491, 0.66325945}, {136850, 0.6506624}, {25947, 0.61065286}, {132333, 0.60509}, {5490, 0.60509}, {156605, 0.5969335}, {162414, 0.59078056}, {6611, 0.59078056}, {152711, 0.59078056}, {160644, 0.59078056}]"
